id,name,platforms,location,country,description,price_min,price_max,rating,review_count,featured,website,email,source,source_ref,verified,verification_method,verified_at
1,1ai South Africa,automationanywhere,South Africa,,"1ai is a premier Intelligent Automation consultancy with over 6 years of experience delivering high-performance digital workflows, operating from offices in South Africa and the Netherlands. We help organizations leverage RPA, AI Agents, and Conversational Automation to bridge the gap between complex manual processes and streamlined, machine-led operations. For businesses seeking a proven, reliable partner, 1ai provides the expertise to scale intelligent automation effectively.",0,0,0,0,false,https://1ai.digital/,,public_api,https://1ai.digital/,true,api_match,2026-02-26T08:45:51.038Z
2,32 Bit Bilgisayar Hizmetleri Sanayi Ve Tic Ltd,automationanywhere,,,"Since its foundation in 1988, 32bit uses its domain and technology know-how to navigate its clients through their digital journey. 32bit’s solutions and services are the customers’ choices in more than 25 countries to enable their digital transformation. 32bit provides solutions and services in two verticals: fintech and digital transformation.",0,0,0,0,false,https://32bit.com.tr/,,public_api,https://32bit.com.tr/,true,api_match,2026-02-26T08:45:51.038Z
3,4impactgroup,automationanywhere,,,"Providing great people, delivering successful projects and shaping enterprise technology solutions. Our Business is based on a fundamental commitment to do the right thing by our clients, our associate consultants and our employees - changing the way project and consulting services are offered and delivered.",0,0,0,0,false,https://www.4impact.com/,,public_api,https://www.4impact.com/,true,api_match,2026-02-26T08:45:51.038Z
4,Accelirate Inc,automationanywhere,,,"Accelirate Inc. is a leader in Business Process Automation using RPA, BPM and AI Technologies. Our Services include Business Process Analysis, Strategy and Implementations on RPA and BPM Technologies. In addition to our traditional Service Delivery models we also have dedicated R&D Teams which focuses on solving Process Automation problems involving unstructured data using Machine Learning Algorithms. At Accelirate, solving Business Process Automation problems is our Passion and our sole focus.",0,0,0,0,false,https://www.accelirate.com/,,public_api,https://www.accelirate.com/,true,api_match,2026-02-26T08:45:51.038Z
5,Accelteam Sdn Bhd,automationanywhere,,,"AccelTeam over the past two decades has been providing consulting and professional services on areas of Data Management, Analytics and AI-Augmented Intelligent Automation. Our aspiration is to be able to work with our customers in materialising their enterprise digital journey that includes Data-Driven Analytics and Digital Workforce transformation. We only implement proven Best-of-Breed technology solutions to our customers and that has become one of our key success ingredients. Our success stories today were reflected by the scale of projects we have delivered to-date, as well as the established list of well-known customer names we have acquired over the past twenty years. We pride ourselves for being one of the early partners that has implemented cognitive automation solution in Malaysia.",0,0,0,0,false,https://accelteam.com/,,public_api,https://accelteam.com/,true,api_match,2026-02-26T08:45:51.038Z
6,Accely Solutions,automationanywhere,,,"Accely is a global technology and innovation company that stands for progress and providing customers flexible, rapidly deployed, end-to-end ERP, Mobility Solutions, Ecommerce, and Business Analytics solutions through the SAP suite of applications and other leading technologies. Our difference can be found in the depth of technical project execution and problem-solving skills that enable us to provide high-value solutions and rapid return on investment . Accely also has been deploying and developing high-value, productivity-elevating technological solutions for organizations looking to maintain their gamesmanship in the market with Robotic Process Automation in Partnership with Automation Anywhere. The aim is not to decrease the head count but increase and improve the performance and productivity of your business with the help of these Software Bots . Our specialization in fixed-price, fast-staff responses, and combining deep technological expertise with hands-on experience. Accely is rightly poised to deliver optimal solutions to customers.",0,0,0,0,false,https://www.accely.com/,,public_api,https://www.accely.com/,true,api_match,2026-02-26T08:45:51.038Z
7,Accenture,automationanywhere,,,"Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. We help organizations maximize their performance and achieve their vision. We develop and implement technology solutions to improve our clients' productivity and efficiency × and may run parts of their operations on their behalf. Ultimately, we enable our clients to become high-performance businesses and governments.",0,0,0,0,false,https://www.accenture.com,,public_api,https://www.accenture.com,true,api_match,2026-02-26T08:45:51.038Z
8,Acronotics,automationanywhere,,,"Transformation does not happen at 20,000 feet. To get things done, you need a nuts-and-bolts technology implementation partner that can get down to the real business of building the bots that will automate your processes, and developing the cognitive engines that will transform your business.That's precisely what we at Acronotics do for a living. Our automation and AI experts work closely with leading global firms across multiple industries to build cutting edge robotic automation & artificial intelligence solutions, enabling our clients to boost organizational productivity, realize substantial cost savings, gain competitive advantage through smart data analytics, and deliver an enhanced user experience to their clients.",0,0,0,0,false,https://www.acronotics.com/,,public_api,https://www.acronotics.com/,true,api_match,2026-02-26T08:45:51.038Z
9,Activeops Limited,automationanywhere,,,"ActiveOps is a leading provider of digital operations management solutions to financial services, shared services, BPOs, government, healthcare and other service industries. Our cloud-based solutions are proven to optimize operations, reduce costs, increase capacity, and improve service delivery and staff well-being. Customers can confidently prepare for and then run their service operations taking full advantage of the benefits of transformation programmes including RPA, automation, digitization and outsourcing. ActiveOps operates across the globe from offices in the USA, UK, Ireland, India, South Africa and Australia.",0,0,0,0,false,,,public_api,,true,api_match,2026-02-26T09:35:11.364Z
10,Adastra,automationanywhere,,,"Adastra is an international IT consultancy that offers leading companies the full range of consulting services for state-of-the-art cloud data & analytics and automation solutions. With the comprehensive technical and professional expertise of our more than 2,200 consultants worldwide, we bridge the gap between business and IT. Our local teams work closely and in partnership with our clients to deliver tailored solutions that increase operational efficiency through optimal data utilization and reduce manual effort to maximize our client's profitability and operational excellence.",0,0,0,0,false,https://adastracorp.com/,,public_api,https://adastracorp.com/,true,api_match,2026-02-26T08:45:51.038Z
